Role,Skills,Salary,Experience,Industry,Year
AI Engineer,"GenAI, SQL, AWS",1601342,6,IT,2022
ML Engineer,"Machine Learning, NLP, Power BI, Java, Deep Learning",885893,4,Education,2023
Data Scientist,"Java, NLP, Machine Learning, MLOps, C++",2264509,10,Education,2022
AI Engineer,"Tableau, Pandas, Java, TensorFlow, SQL",508648,0,Finance,2026
Data Scientist,"Power BI, SQL, NLP, Machine Learning",1210235,9,Healthcare,2026
AI Engineer,"C++, NLP",1790531,7,Healthcare,2025
Cybersecurity Analyst,"Power BI, C++, Tableau, NLP, Pandas",870388,10,Finance,2024
Software Engineer,"Docker, Python, Java, Deep Learning, Power BI",943271,6,IT,2026
Data Analyst,"Java, TensorFlow, GenAI, Python, SQL",2297490,8,Retail,2026
Data Analyst,"Java, AWS",683609,1,Finance,2022
Cloud Engineer,"GenAI, SQL, Python",510770,1,Finance,2026
Cloud Engineer,"GenAI, Tableau",1675463,6,Healthcare,2025
ML Engineer,"Power BI, C++, Machine Learning, Docker, Python",844883,0,IT,2024
Data Scientist,"C++, Tableau",1739677,2,Finance,2022
Software Engineer,"Machine Learning, Deep Learning, Tableau, SQL, Pandas",338574,0,Retail,2023
Cloud Engineer,"Power BI, MLOps",1190475,1,Finance,2023
Software Engineer,"Docker, Python",1618868,8,Finance,2026
AI Engineer,"SQL, C++, Docker",1385599,3,IT,2022
Cybersecurity Analyst,"Pandas, TensorFlow, Power BI, NLP, Deep Learning",1051708,6,Retail,2026
AI Engineer,"AWS, C++",2265481,5,IT,2025
Software Engineer,"Power BI, Docker",570709,7,Retail,2023
AI Engineer,"GenAI, Machine Learning",1212819,4,IT,2022
ML Engineer,"NLP, GenAI, AWS, TensorFlow",953460,1,Education,2024
ML Engineer,"SQL, Tableau, Deep Learning, Java, Pandas",496544,8,Finance,2026
Data Scientist,"AWS, Pandas, Deep Learning",1038707,8,IT,2024
AI Engineer,"Power BI, Java, SQL",2311450,4,Retail,2025
Cybersecurity Analyst,"Tableau, GenAI, Python",393963,1,IT,2022
Software Engineer,"TensorFlow, Docker",660060,7,Healthcare,2024
Software Engineer,"NLP, Python, Power BI, Machine Learning",2396867,5,Healthcare,2025
Data Analyst,"Deep Learning, Python, Power BI",1111898,2,Retail,2026
Data Scientist,"TensorFlow, Python, MLOps, Machine Learning",1619889,6,IT,2025
Software Engineer,"Pandas, Deep Learning, Java, SQL",1907370,3,Finance,2023
Data Scientist,"Docker, Python, AWS, SQL, Power BI",1782228,9,IT,2025
ML Engineer,"C++, AWS",1576467,1,IT,2026
AI Engineer,"AWS, Tableau, C++",1522047,7,Healthcare,2022
Cybersecurity Analyst,"Docker, C++, Power BI",1796889,5,Education,2022
Software Engineer,"GenAI, Pandas, SQL",2024317,2,Education,2025
AI Engineer,"MLOps, AWS, Tableau",2427391,10,Retail,2022
Data Analyst,"SQL, Java, Deep Learning, Python, C++",2265459,3,IT,2026
Software Engineer,"Machine Learning, SQL, Python, C++",580017,1,Healthcare,2024
Cybersecurity Analyst,"GenAI, Java, Deep Learning",2412769,6,Healthcare,2023
AI Engineer,"Machine Learning, Python, Pandas",399128,3,Education,2023
Software Engineer,"Pandas, TensorFlow, MLOps",1272011,10,Finance,2022
Cybersecurity Analyst,"AWS, C++, NLP",1791367,5,IT,2026
Data Scientist,"Python, Java, Power BI, Docker, AWS",920884,6,Healthcare,2026
Software Engineer,"NLP, Machine Learning",1414604,6,Finance,2025
Cloud Engineer,"Machine Learning, Pandas, NLP, Power BI",370160,6,Finance,2022
ML Engineer,"Docker, SQL, NLP, TensorFlow",1419543,2,Education,2025
Software Engineer,"TensorFlow, Power BI, Docker",319814,6,Education,2022
ML Engineer,"Machine Learning, C++, Pandas, Power BI",1401238,0,IT,2025
Cybersecurity Analyst,"Power BI, AWS, TensorFlow, Python",830154,1,Education,2025
ML Engineer,"AWS, MLOps, Docker",1862443,8,Retail,2024
Software Engineer,"AWS, NLP",1671999,8,Education,2024
AI Engineer,"AWS, C++, Python, TensorFlow",1715009,8,IT,2023
AI Engineer,"Deep Learning, Pandas",2187853,9,Education,2026
ML Engineer,"Pandas, SQL, Power BI, Machine Learning",2315895,8,Retail,2025
Cloud Engineer,"C++, Java, Pandas",887505,4,Finance,2023
ML Engineer,"C++, SQL, GenAI, AWS",1715411,1,Education,2025
Software Engineer,"Tableau, Pandas, SQL",852536,5,Retail,2022
Data Analyst,"GenAI, Deep Learning, Docker, Java",1977122,9,IT,2023
Software Engineer,"AWS, GenAI, NLP",1526551,0,Education,2023
Cybersecurity Analyst,"Machine Learning, C++, Deep Learning",746890,10,Finance,2026
Cloud Engineer,"Java, Power BI, MLOps, TensorFlow, NLP",1948754,4,Finance,2026
Cloud Engineer,"C++, GenAI",1978059,9,Retail,2023
Software Engineer,"NLP, Deep Learning, Pandas, Power BI, Tableau",1222806,0,Retail,2023
Cloud Engineer,"Machine Learning, AWS",1093952,9,Finance,2026
AI Engineer,"Python, Tableau, SQL, Pandas, Docker",1221615,6,Education,2022
AI Engineer,"Deep Learning, AWS, Python, TensorFlow",2411278,7,Finance,2026
ML Engineer,"Power BI, C++, NLP, Java",986541,5,Finance,2026
AI Engineer,"Python, NLP, Docker",644353,0,Finance,2023
AI Engineer,"SQL, AWS",864813,10,Education,2024
ML Engineer,"Java, Docker, Machine Learning",1524890,7,IT,2024
AI Engineer,"Power BI, SQL",1740460,0,Education,2026
AI Engineer,"Pandas, MLOps, SQL, Power BI, Java",1368548,10,IT,2025
Cybersecurity Analyst,"Java, C++, Docker, Python, SQL",1727329,5,Retail,2023
Cybersecurity Analyst,"Python, GenAI",2410102,0,Retail,2022
Cybersecurity Analyst,"Python, Docker",1904159,9,Education,2025
Data Scientist,"TensorFlow, Deep Learning",2220504,9,Education,2022
Data Scientist,"TensorFlow, Machine Learning, Tableau, Pandas",2243007,2,IT,2022
Cloud Engineer,"MLOps, Tableau, Java, C++, Machine Learning",696381,7,Retail,2026
ML Engineer,"TensorFlow, AWS, MLOps",2273997,2,Education,2023
Cybersecurity Analyst,"Pandas, NLP, Docker, Machine Learning, Python",487291,1,Retail,2025
ML Engineer,"Pandas, Python, Deep Learning, Docker",1654326,3,Finance,2022
Data Scientist,"AWS, SQL, Java, Docker, NLP",316015,1,IT,2025
Cloud Engineer,"TensorFlow, Java, Deep Learning, C++",998051,5,Finance,2025
ML Engineer,"Java, Pandas, Tableau",765298,4,Healthcare,2022
AI Engineer,"C++, Deep Learning, NLP, Docker",1410618,4,Healthcare,2022
Data Analyst,"Docker, Pandas, AWS",1853771,10,Healthcare,2022
AI Engineer,"Machine Learning, Pandas, C++",602864,2,IT,2026
Data Analyst,"Python, C++",354161,0,Retail,2026
ML Engineer,"C++, NLP, SQL, Python, Tableau",685410,0,Retail,2026
AI Engineer,"Java, Machine Learning, GenAI",2382812,8,Finance,2023
AI Engineer,"C++, MLOps",2168215,10,Finance,2024
ML Engineer,"Power BI, Pandas, Java, Tableau, SQL",1247320,4,Education,2026
Cybersecurity Analyst,"GenAI, AWS, MLOps, TensorFlow, NLP",1710025,5,IT,2025
Data Scientist,"C++, AWS",1258783,8,Education,2025
Cloud Engineer,"Python, GenAI, Machine Learning, Docker",1277858,5,Finance,2025
Cloud Engineer,"Docker, TensorFlow",1319679,2,Retail,2026
Data Scientist,"SQL, NLP, Power BI, C++, Deep Learning",2343193,2,Healthcare,2022
Cybersecurity Analyst,"Tableau, AWS, Machine Learning, Docker, Java",1492749,2,Retail,2025
Data Scientist,"Pandas, Java, Tableau, Machine Learning, SQL",1124145,0,Retail,2024
Data Scientist,"Deep Learning, Machine Learning, Java, C++, Python",2267267,4,Healthcare,2026
Data Analyst,"SQL, MLOps, GenAI, TensorFlow, Docker",1350619,3,Healthcare,2022
Cloud Engineer,"Python, C++",870073,1,Finance,2023
Software Engineer,"Python, Machine Learning",1077955,3,Finance,2026
ML Engineer,"Java, Pandas, MLOps",1996896,3,Healthcare,2022
Cybersecurity Analyst,"Deep Learning, Power BI, GenAI, C++, MLOps",460758,7,IT,2025
ML Engineer,"Java, AWS, Machine Learning, NLP",1464352,5,Healthcare,2022
AI Engineer,"Deep Learning, AWS",1338072,5,Retail,2023
Data Analyst,"MLOps, Tableau, GenAI",1943483,8,Finance,2023
Cybersecurity Analyst,"Power BI, C++",1875800,9,Retail,2024
AI Engineer,"Deep Learning, Power BI, Java, GenAI, Python",654298,6,Education,2023
Cloud Engineer,"TensorFlow, Python, MLOps, C++, Deep Learning",303462,6,Healthcare,2022
AI Engineer,"Java, MLOps, Pandas, Docker, C++",460280,3,Retail,2024
AI Engineer,"Tableau, Pandas",1510530,7,Finance,2023
Software Engineer,"GenAI, AWS, MLOps",2047151,1,Healthcare,2023
Software Engineer,"MLOps, C++, Java, AWS, TensorFlow",2260337,10,Education,2025
Data Analyst,"Java, Deep Learning, TensorFlow, MLOps",954297,5,Education,2026
Software Engineer,"TensorFlow, Machine Learning",428195,5,IT,2022
Cloud Engineer,"Docker, NLP",1827329,10,Healthcare,2025
Data Analyst,"AWS, Docker, Tableau, TensorFlow, Java",754721,6,Retail,2023
Data Analyst,"SQL, TensorFlow, GenAI, C++",805977,9,Finance,2024
Cybersecurity Analyst,"Deep Learning, Java, Python, Docker, MLOps",1964239,7,Finance,2025
Cybersecurity Analyst,"C++, Machine Learning, GenAI",742432,5,Education,2025
Software Engineer,"Pandas, Machine Learning, Java",2207895,4,Finance,2023
Cloud Engineer,"SQL, Power BI, Java, Machine Learning",1062758,3,Healthcare,2022
